"Run/Debug","Resume","Ctrl+X Ctrl+A Ctrl+R","Debugging"
"Edit","Toggle Block Selection","Shift+Alt+A","Editing Text"
"Window","Next View","Shift+Ctrl+Alt+L","In Windows"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Text Editing","Mark Paragraph","Alt+H","Editing Text"
"Text Editing","End Buffer","Ctrl+End","Editing Text"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Text Editing","Open Rectangle","Ctrl+X R O","Editing Text"
"Text Editing","Backward Paragraph","Shift+Alt+[","Editing Text"
"Terminal view commands","Terminal view insert","Alt+N","Terminal widget context"
"Text Editing","Count Lines Buffer","Ctrl+X L","Editing Text"
"Run/Debug","Step Return","F7","Debugging"
"Text Editing","Capitalize","Alt+C","Editing Text"
"Text Editing","Universal Argument","Ctrl+Alt+4","Editing Text"
"Text Editing","Point to Register","Ctrl+X R Space","Editing Text"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"C/C++ Source","Surround With Quick Menu","Shift+Alt+Z","C/C++ Editor"
"Task","Show Tooltip Description","F4","In Tasks View"
"Navigate","Go to Line","Ctrl+X G","Editing Text"
"Text Editing","Describe Command","Ctrl+H D","Editing Text"
"Text Editing","Backward Paragraph","Alt+{","Editing Text"
"Run/Debug","Previous Page of Memory","Shift+Ctrl+,","In Table Memory Rendering"
"C/C++ Source","Go to Matching Bracket","Shift+Ctrl+P","C/C++ Editor"
"Run/Debug","Step Over","F6","Debugging"
"Git","Commit...","Ctrl+#","In Windows"
"Text Editing","Insert Register","Ctrl+X R I","Editing Text"
"Refactor - C++","Rename - Refactoring ","Shift+Alt+R","In C/C++ Views"
"Text Editing","Begin Buffer","Ctrl+Home","Editing Text"
"Text Editing","Eval Expression","Esc Shift+;","In Windows"
"Text Editing","Split Window Vertically","Ctrl+X 3","In Windows"
"Text Editing","End Line","Ctrl+E","Editing Text"
"Refactor - C++","Rename - Refactoring ","Shift+Alt+R","C/C++ Editor"
"Text Editing","Backward Character","Left","Editing Text"
"Text Editing","Regexp I-Search backward","Ctrl+Alt+R","Editing Text"
"Text Editing","Text Start","Esc <","Editing Text"
"Text Editing","Query Replace Regexp","Ctrl+Alt+%","Editing Text"
